    254      0      5      MAY    2013
      1  99999  10548  50.57N 10.37E   450   2245
      2    100   2950   1690    124  99999      3
      3          9999                99999     ms
      9   9690    450     96     94    155     10
      4  10000    188  99999  99999  99999  99999
      4   9250    834     92     73    300     30
      6   9160    914  99999  99999    290     50
      6   9100    968  99999  99999    285     60
      5   9060   1005     88     52  99999  99999
      6   8860   1189  99999  99999    330     60
      6   8580   1453  99999  99999    340     30
      6   8550   1482  99999  99999    325     30
      5   8530   1498     54     33  99999  99999
      4   8500   1531     52     31    300     30
      6   8000   2016  99999  99999    325     50
      6   7880   2137  99999  99999    310     50
      5   7580   2451    -15    -43  99999  99999
      6   7490   2546  99999  99999    345     50
      5   7320   2727    -27   -167  99999  99999
      4   7000   3087    -49   -179      5     60
      6   6970   3119  99999  99999      5     70
      5   6930   3166    -55   -225  99999  99999
      6   6390   3783  99999  99999    325     50
      6   6300   3890  99999  99999    330     50
      5   6120   4127   -113   -333  99999  99999
      6   6110   4139  99999  99999    300     50
      6   6030   4238  99999  99999    310     60
      6   6000   4276  99999  99999    310     60
      6   5860   4453  99999  99999    315     20
      5   5600   4800   -159   -229  99999  99999
      5   5550   4867   -161   -311  99999  99999
      6   5520   4907  99999  99999     10     60
      5   5410   5058   -175   -385  99999  99999
      6   5350   5141  99999  99999    340     50
      5   5330   5169   -181   -381  99999  99999
      5   5280   5239   -185   -255  99999  99999
      5   5250   5281   -187   -267  99999  99999
      5   5060   5553   -213   -263  99999  99999
      4   5000   5650   -219   -269    345     70
      6   4990   5664  99999  99999    345     70
      6   4900   5794  99999  99999    335     60
      6   4520   6373  99999  99999    350     50
      6   4440   6501  99999  99999    335     50
      5   4430   6526   -285   -385  99999  99999
      5   4120   7039   -331   -401  99999  99999
      4   4000   7250   -345   -465    340     60
      5   3920   7390   -357   -517  99999  99999
      6   3800   7599  99999  99999    325     60
      6   3730   7724  99999  99999    335     60
      6   3570   8019  99999  99999    325     80
      6   3350   8447  99999  99999    335     90
      5   3340   8477   -457   -557  99999  99999
      6   3180   8803  99999  99999     10     70
      5   3140   8884   -489   -589  99999  99999
      6   3130   8905  99999  99999     20    100
      4   3000   9190   -491   -641     35    150
      6   2950   9298  99999  99999     35    160
      6   2850   9521  99999  99999     40    150
      5   2740   9780   -517   -667  99999  99999
      6   2530  10293  99999  99999     25     80
      7   2510  10345   -529   -719     20     80
      4   2500  10370   -529   -719     15     70
      6   2450  10501  99999  99999    355     50
      6   2200  11200  99999  99999    260     10
      6   2010  11787  99999  99999    260     50
      4   2000  11820   -483   -873    260     50
      5   1950  11986   -479   -869  99999  99999
      6   1870  12259  99999  99999    290     50
      7   1690  12919   -519   -889    245     50
      6   1630  13156  99999  99999    220     60
      4   1500  13700   -507   -887    235    110
      6   1450  13919  99999  99999    250    120
      5   1380  14238   -533   -903  99999  99999
      6   1360  14332  99999  99999    250    100
      6   1330  14476  99999  99999    230     80
      5   1310  14574   -513   -893  99999  99999
      6   1230  14981  99999  99999    255    110
      6   1180  15249  99999  99999    240     90
      6   1050  16004  99999  99999    235    140
      4   1000  16320   -547   -907    235    120
      6    941  16708  99999  99999    225    140
      6    901  16985  99999  99999    250    120
      6    791  17818  99999  99999    270    100
      5    781  17904   -527   -897  99999  99999
      6    764  18043  99999  99999    225     90
      6    740  18246  99999  99999    225    120
      6    704  18563  99999  99999    245     80
      4    700  18600   -557   -917    245     80
      6    676  18821  99999  99999    280     50
      6    658  18992  99999  99999      0      0
      6    630  19268  99999  99999    200     50
      6    612  19452  99999  99999    220     70
      5    606  19510   -585   -935  99999  99999
      6    601  19563  99999  99999    245     80
      6    583  19757  99999  99999    295     70
      6    569  19912  99999  99999    235     10
      5    551  20111   -555   -915  99999  99999
      4    500  20740   -567   -927    245     40
      6    479  21012  99999  99999      0      0
      5    372  22602   -583   -933  99999  99999
      4    300  23980   -557   -917    245     40
      5    278  24466   -533   -903    240     30
      6    212  26214  99999  99999     10     80
      5    211  26239   -527   -897  99999  99999
      6    209  26301  99999  99999     25     50
      5    208  26331   -529   -899  99999  99999
      4    200  26590   -515   -885     80     10
      6    197  26689  99999  99999      0      0
      5    194  26788   -499   -879  99999  99999
      5    177  27384   -513   -893  99999  99999
      6    166  27809  99999  99999    285     50
      6    160  28053  99999  99999    325     90
      6    156  28220  99999  99999     10     50
      5    143  28776   -479   -869  99999  99999
      6    141  28870  99999  99999     10     50
      6    136  29111  99999  99999     90     50
      5    129  29452   -493   -873    155     50
      6    123  29773  99999  99999    195     50
      6    117  30110  99999  99999    200    100
      5    115  30213   -431   -831  99999  99999
      6    112  30393  99999  99999    260     60
      6    110  30516  99999  99999    265     60
      4    100  31170   -405   -815  99999  99999
